Tipo aloxamento,Ano,Establecementos,
Campamentos de turismo,,,
,2003,6,
,2004,6,
,2005,6,
,2006,6,
,2007,6,
,2008,6,
,2009,6,
,2010,6,
,2011,6,
,2012,6,
,2013,6,
,2017,6,
,2018,6,
,2019,6,
,2020,6,
,2021,7,
,2022,7,
Apartamentos turísticos,,,
,2003,0,
,2004,0,
,2005,0,
,2006,1,
,2007,1,
,2008,1,
,2009,1,
,2010,2,
,2011,2,
,2012,4,
,2013,6,
,2017,5,
,2018,5,
,2019,4,
,2020,6,
,2021,6,
,2022,7,
Vivendas turísticas,,,
,2003,..,
,2004,..,
,2005,..,
,2006,..,
,2007,..,
,2008,..,
,2009,..,
,2010,..,
,2011,..,
,2012,..,
,2013,..,
,2017,17,
,2018,16,
,2019,13,
,2020,12,
,2021,12,
,2022,13,
Vivendas de uso turístico,,,
,2003,-0,
,2004,-0,
,2005,-0,
,2006,-0,
,2007,-0,
,2008,-0,
,2009,-0,
,2010,-0,
,2011,-0,
,2012,-0,
,2013,-0,
,2017,-0,
,2018,137,
,2019,262,
,2020,355,
,2021,416,
,2022,498,
15011,Boiro,,
Hoteis,,,
,2003,1,
,2004,1,
,2005,1,
,2006,1,
,2007,2,
,2008,3,
,2009,3,
,2010,3,
,2011,4,
,2012,4,
,2013,4,
,2017,4,
,2018,4,
,2019,4,
,2020,4,
,2021,4,
,2022,4,
Pensións,,,
,2003,..,
,2004,..,
,2005,..,
,2006,..,
,2007,..,
,2008,..,
,2009,5,
,2010,5,
,2011,5,
,2012,5,
,2013,5,
,2017,4,
,2018,4,
,2019,4,
,2020,4,
,2021,4,
,2022,4,
Albergues turísticos,,,
,2003,..,
,2004,..,
,2005,..,
,2006,..,
,2007,..,
,2008,..,
,2009,..,
,2010,..,
,2011,..,
,2012,0,
,2013,0,
,2017,0,
,2018,0,
,2019,0,
,2020,0,
,2021,0,
,2022,0,
Turismo rural,,,
,2003,3,
,2004,3,
,2005,3,
,2006,4,
,2007,4,
,2008,4,
,2009,4,
,2010,4,
,2011,4,
,2012,4,
,2013,3,
,2017,3,
,2018,3,
,2019,4,
,2020,4,
,2021,4,
,2022,4,
Campamentos de turismo,,,
,2003,1,
,2004,1,
,2005,1,
,2006,1,
,2007,1,
,2008,1,
,2009,1,
,2010,1,
,2011,1,
,2012,1,
,2013,1,
,2017,1,
,2018,1,
,2019,1,
,2020,1,
,2021,1,
,2022,1,
Apartamentos turísticos,,,
,2003,0,
,2004,0,
,2005,0,
,2006,0,
,2007,0,
,2008,0,
,2009,0,
,2010,1,
,2011,0,
,2012,2,
,2013,3,
,2017,2,
,2018,2,
,2019,2,
,2020,2,
,2021,2,
,2022,2,
Vivendas turísticas,,,
,2003,..,
,2004,..,
,2005,..,
,2006,..,
,2007,..,
,2008,..,
,2009,..,
,2010,..,
,2011,..,
,2012,..,
,2013,..,
,2017,4,
,2018,4,
,2019,3,
,2020,3,
,2021,3,
,2022,4,
Vivendas de uso turístico,,,
,2003,-0,
,2004,-0,
,2005,-0,
,2006,-0,
,2007,-0,
,2008,-0,
,2009,-0,
,2010,-0,
,2011,-0,
,2012,-0,
,2013,-0,
,2017,-0,
,2018,51,
,2019,86,
,2020,122,
,2021,140,
,2022,167,
15067,"Pobra do Caramiñal, A",,
Hoteis,,,
,2003,2,
,2004,2,
,2005,2,
,2006,2,
,2007,2,
,2008,2,
,2009,2,
,2010,2,
,2011,2,
,2012,2,
,2013,2,
,2017,2,
,2018,2,
